,Long Phones,Number of Identical Phonemes,Number of Identical Stresses,Long Stresses,Similar Pairs Phoneme,Short Stresses,Error Word Pronunciations,Error Word,Similar Pairs Stress,Stress Evaluation,Correct Word Pronunciations,Short Phones,Phoneme Evaluation,Correct word
84,9,1,0,3,"[('AH2', 'S'), ('N', 'T'), ('D', 'R'), ('ER0', 'AE1'), ('S', 'N'), ('T', 'D'), ('AE1', 'AH0')]",2,"[['AH2', 'N', 'D', 'ER0', 'S', 'T', 'AE1', 'N', 'D']]",understand,"[('AH2', 'S'), ('N', 'T'), ('D', 'R'), ('ER0', 'AE1'), ('S', 'N'), ('T', 'D'), ('AE1', 'IH0')]","NO STRESS SIMILARITY
","[['S', 'T', 'R', 'AE1', 'N', 'D', 'AH0', 'D'], ['S', 'T', 'R', 'AE1', 'N', 'D', 'IH0', 'D']]",8,"NO PHONETIC SIMILARITY
",stranded
85,8,1,1,2,"[('IH1', 'S')]",1,"[['IH1', 'T'], ['IH0', 'T']]",it,"[('T', 'T')]","STRESS SIMILARITY
","[['S', 'T', 'R', 'AE1', 'N', 'D', 'AH0', 'D'], ['S', 'T', 'R', 'AE1', 'N', 'D', 'IH0', 'D']]",2,"PHONETIC SIMILARITY
",stranded
86,0,0,1,1,[],1,"[['AE1', 'T']]",at,"[('AE1', 'L'), ('T', 'AY1')]","STRESS SIMILARITY
","[['L', 'AY1', 'K']]",0,"PHONETIC SIMILARITY
",like
87,0,0,0,1,[],0,[['']],%OMISSION,"[('', 'K')]","NO STRESS SIMILARITY
","[['K', 'AE1', 'N'], ['K', 'AH0', 'N']]",0,"PHONETIC SIMILARITY
",can
88,2,2,1,1,[],1,"[['T', 'UW1']]",two,[],"STRESS SIMILARITY
","[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",2,"HOMOPHONES
",to
89,7,1,1,3,"[('B', 'Y'), ('AE1', 'UW1'), ('T', 'EH1')]",1,"[['B', 'AE1', 'T', 'S']]",bats,"[('B', 'Y'), ('AE1', 'UW1'), ('T', 'EH1'), ('S', 'S')]","STRESS SIMILARITY
","[['AH1', 'S', 'D', 'AH1', 'Z'], ['AH1', 'S', 'D', 'AH1', 'Z'], ['Y', 'UW1', 'EH1', 'S', 'D', 'IH0', 'Z'], ['Y', 'UW1', 'EH1', 'S', 'D', 'IH0', 'Z']]",4,"NO PHONETIC SIMILARITY
",us does
90,3,1,1,1,"[('M', 'L')]",1,"[['M', 'AY1']]",my,"[('M', 'L')]","STRESS SIMILARITY
","[['L', 'AY1', 'K']]",2,"PHONETIC SIMILARITY
",like
91,3,3,1,1,[],1,"[['W', 'IH1', 'L'], ['W', 'AH0', 'L']]",will,[],"STRESS SIMILARITY
","[['W', 'IY1', 'L'], ['W', 'IH1', 'L']]",3,"HOMOPHONES
",we'll
92,0,0,0,0,[],1,[['']],%OMISSION,"[('', 'ER0')]","NO STRESS SIMILARITY
","[['AO1', 'R'], ['ER0']]",0,"PHONETIC SIMILARITY
",or
93,0,0,0,2,[],0,[['']],%OMISSION,"[('', 'K')]","NO STRESS SIMILARITY
","[['K', 'AE1', 'N', 'W', 'IY1'], ['K', 'AH0', 'N', 'W', 'IY1']]",0,"PHONETIC SIMILARITY
",can we
94,0,0,1,2,[],1,"[['Y', 'UW1']]",you,"[('Y', 'K'), ('UW1', 'AH0')]","STRESS SIMILARITY
","[['K', 'AE1', 'N', 'W', 'IY1'], ['K', 'AH0', 'N', 'W', 'IY1']]",0,"PHONETIC SIMILARITY
",can we
95,0,0,0,1,[],0,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'No arpabet available')]","NO STRESS SIMILARITY
",[['No arpabet available']],0,"PHONETIC SIMILARITY
",%ADDITION
96,10,1,1,3,"[('AH1', 'EH1'), ('T', 'L')]",1,"[['W', 'AH1', 'T'], ['HH', 'W', 'AH1', 'T']]",what,"[('HH', 'W'), ('W', 'EH1'), ('AH1', 'L')]","STRESS SIMILARITY
","[['W', 'EH1', 'L', 'DH', 'EH1', 'N', 'L', 'EH1', 'T', 'S']]",3,"NO PHONETIC SIMILARITY
",well then let's
97,0,0,1,1,[],1,"[['Y', 'UW1']]",you,"[('Y', 'W'), ('UW1', 'IY1')]","STRESS SIMILARITY
","[['W', 'IY1']]",0,"PHONETIC SIMILARITY
",we
98,4,2,1,1,"[('Y', 'Y')]",2,"[['Y', 'AO1', 'R'], ['Y', 'UH1', 'R']]",your,"[('UH1', 'AE1'), ('R', 'ER0')]","STRESS SIMILARITY
","[['Y', 'AE1', 'AO1', 'R'], ['Y', 'AE1', 'ER0']]",3,"MINOR LEXICAL
",yeah or
99,7,2,1,3,"[('EH1', 'AH0'), ('R', 'IH1')]",2,"[['EH1', 'V', 'R', 'IY0', 'TH', 'IH2', 'NG']]",everything,"[('EH1', 'AH0'), ('R', 'IH1')]","NO STRESS SIMILARITY
","[['AH0', 'TH', 'IH1', 'NG'], ['EY1', 'TH', 'IH1', 'NG']]",4,"PHONETIC SIMILARITY
",a thing
100,3,2,1,1,[],1,"[['DH', 'AE1', 'T'], ['DH', 'AH0', 'T']]",that,[],"STRESS SIMILARITY
","[['AE1', 'T']]",2,"PHONETIC SIMILARITY
",at
101,2,1,1,1,"[('AA1', 'AO1')]",1,"[['AA1', 'R'], ['ER0']]",are,[],"STRESS SIMILARITY
","[['AO1', 'R'], ['ER0']]",2,"HOMOPHONES
",or
102,3,1,1,1,"[('Z', 'T')]",1,"[['IH1', 'Z'], ['IH0', 'Z']]",is,"[('Z', 'T')]","STRESS SIMILARITY
","[['IH1', 'T', 'S'], ['IH0', 'T', 'S']]",2,"PHONETIC SIMILARITY
",it's
103,2,1,1,1,"[('AE1', 'IH0')]",1,"[['AE1', 'N'], ['AH0', 'N']]",an,"[('AH0', 'IH0')]","STRESS SIMILARITY
","[['IH0', 'N'], ['IH1', 'N']]",2,"PHONETIC SIMILARITY
",in
104,8,2,2,3,"[('AH0', 'Z'), ('L', 'L')]",2,"[['IY1', 'Z', 'AH0', 'L']]",easel,"[('IY1', 'DH'), ('Z', 'IY1')]","STRESS SIMILARITY
","[['DH', 'IY1', 'Z', 'L', 'IH1', 'T', 'AH0', 'L']]",4,"PHONETIC SIMILARITY
",these little
105,2,2,1,1,[],1,"[['W', 'ER0'], ['W', 'ER1']]",were,[],"STRESS SIMILARITY
","[['W', 'IY1', 'R'], ['W', 'IH1', 'R'], ['W', 'ER1']]",2,"HOMOPHONES
",we're
106,5,3,1,2,[],1,"[['D', 'AO1', 'G']]",dog,[],"STRESS SIMILARITY
","[['D', 'AO1', 'G', 'IY0', 'Z']]",3,"MINOR LEXICAL
",doggies
107,0,0,1,2,[],1,"[['Y', 'UW1']]",you,"[('Y', 'D'), ('UW1', 'AO1')]","STRESS SIMILARITY
","[['D', 'AO1', 'G', 'IY0', 'Z']]",0,"PHONETIC SIMILARITY
",doggies
108,0,0,1,1,[],1,"[['S', 'OW1']]",so,"[('S', 'DH'), ('OW1', 'AE1')]","STRESS SIMILARITY
","[['DH', 'AE1', 'T'], ['DH', 'AH0', 'T']]",0,"PHONETIC SIMILARITY
",that
109,6,4,2,3,"[('D', 'N')]",2,"[['S', 'AE1', 'T', 'ER0', 'D', 'IY0'], ['S', 'AE1', 'T', 'IH2', 'D', 'EY2']]",Saturday,"[('D', 'N')]","STRESS SIMILARITY
","[['S', 'AE1', 'T', 'ER0', 'N']]",5,"MINOR LEXICAL
",Saturn
110,0,0,0,3,[],0,[['No arpabet available']],naggers,"[('No arpabet available', 'AY1')]","NO STRESS SIMILARITY
","[['AY1', 'AH0', 'G', 'R', 'IY1']]",0,"PHONETIC SIMILARITY
",I agree
111,0,0,0,1,[],1,"[['AH1', 'V'], ['AH0', 'V']]",of,"[('AH0', 'DH'), ('V', 'OW1')]","NO STRESS SIMILARITY
","[['DH', 'OW1']]",0,"PHONETIC SIMILARITY
",though
112,5,4,1,2,"[('AO2', 'AY1')]",2,"[['AO2', 'L', 'R', 'AY1', 'T']]",alright,"[('AO2', 'AY1')]","NO STRESS SIMILARITY
","[['AY1', 'L', 'R', 'AY1', 'T']]",5,"MINOR LEXICAL
",I'll write
113,0,0,0,1,[],0,[['']],%OMISSION,"[('', 'D')]","NO STRESS SIMILARITY
","[['D', 'AW1', 'N']]",0,"PHONETIC SIMILARITY
",down
114,0,0,1,1,[],1,"[['DH', 'EY1']]",they,"[('DH', 'W'), ('EY1', 'IY1')]","STRESS SIMILARITY
","[['W', 'IY1']]",0,"PHONETIC SIMILARITY
",we
115,5,4,1,1,[],1,"[['F', 'L', 'EH1', 'R']]",flair,[],"STRESS SIMILARITY
","[['F', 'L', 'EH1', 'R', 'Z']]",4,"MINOR LEXICAL
",flares
116,4,2,1,2,[],1,"[['AO1', 'R', 'D', 'ER0']]",order,[],"STRESS SIMILARITY
","[['AO1', 'R']]",2,"PHONETIC SIMILARITY
",oar
117,3,1,1,1,"[('IH1', 'HH')]",1,"[['IH1', 'Z'], ['IH0', 'Z']]",is,"[('IH1', 'HH')]","STRESS SIMILARITY
","[['HH', 'IY1', 'Z']]",2,"PHONETIC SIMILARITY
",he's
118,2,1,1,1,"[('DH', 'T')]",1,"[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",the,"[('DH', 'T'), ('IY0', 'AH0')]","STRESS SIMILARITY
","[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",2,"PHONETIC SIMILARITY
",to
119,3,2,1,1,"[('EY1', 'AY1')]",1,"[['L', 'EY1', 'K']]",lake,"[('EY1', 'AY1')]","STRESS SIMILARITY
","[['L', 'AY1', 'K']]",3,"MINOR LEXICAL
",like
120,3,1,1,1,"[('DH', 'L'), ('AE1', 'IH1')]",1,"[['DH', 'AE1', 'T'], ['DH', 'AH0', 'T']]",that,"[('DH', 'L'), ('AE1', 'IH1')]","STRESS SIMILARITY
","[['L', 'IH1', 'T']]",3,"MINOR LEXICAL
",lit
121,0,0,1,1,[],1,"[['Y', 'UW1']]",you,"[('Y', 'W'), ('UW1', 'IY1')]","STRESS SIMILARITY
","[['W', 'IY1']]",0,"PHONETIC SIMILARITY
",we
122,0,0,0,3,[],0,[['No arpabet available']],Kaby,"[('No arpabet available', 'DH')]","NO STRESS SIMILARITY
","[['DH', 'EY1', 'K', 'UH1', 'D', 'B', 'IY1'], ['DH', 'EY1', 'K', 'UH1', 'D', 'B', 'IY0']]",0,"PHONETIC SIMILARITY
",they could be
123,3,2,1,1,"[('EY1', 'AY1')]",1,"[['L', 'EY1', 'K']]",lake,"[('EY1', 'AY1')]","STRESS SIMILARITY
","[['L', 'AY1', 'K']]",3,"MINOR LEXICAL
",like
124,5,4,0,2,"[('UH0', 'UH1')]",2,"[['AA1', 'R', 'T', 'UH0', 'R']]",Artur,"[('UH0', 'UH1')]","NO STRESS SIMILARITY
","[['AW1', 'ER0', 'T', 'UH1', 'R'], ['AW1', 'R', 'T', 'UH1', 'R'], ['AA1', 'R', 'T', 'UH1', 'R']]",5,"HOMOPHONES
",our tour
125,6,3,1,2,"[('AH0', 'IH1'), ('N', 'T')]",2,"[['D', 'AH1', 'Z', 'AH0', 'N', 'T'], ['D', 'AH1', 'Z', 'AH0', 'N']]",doesn't,"[('AH1', 'IH0'), ('AH0', 'IH0'), ('N', 'T')]","NO STRESS SIMILARITY
","[['D', 'AH1', 'Z', 'IH1', 'T'], ['D', 'AH1', 'Z', 'IH1', 'T'], ['D', 'IH0', 'Z', 'IH0', 'T'], ['D', 'IH0', 'Z', 'IH0', 'T']]",5,"MINOR LEXICAL
",does it
126,7,1,0,3,"[('IH1', 'R'), ('CH', 'W'), ('ER0', 'IY1'), ('D', 'SH')]",2,"[['R', 'IH1', 'CH', 'ER0', 'D']]",Richard,"[('R', 'ER0'), ('IH1', 'W'), ('CH', 'IY1'), ('ER0', 'SH'), ('D', 'UH1')]","NO STRESS SIMILARITY
","[['AA1', 'R', 'W', 'IY1', 'SH', 'UH1', 'R'], ['ER0', 'W', 'IY1', 'SH', 'UH1', 'R']]",5,"NO PHONETIC SIMILARITY
",are we sure
127,5,1,1,2,"[('AA1', 'F')]",1,"[['AA1', 'N'], ['AO1', 'N']]",on,"[('AO1', 'F')]","STRESS SIMILARITY
","[['F', 'EH1', 'L', 'IH0', 'N'], ['F', 'EH1', 'L', 'IH1', 'N']]",2,"PHONETIC SIMILARITY
",fell in
128,0,0,1,1,[],1,"[['AH1', 'V'], ['AH0', 'V']]",of,"[('AH1', 'AO1'), ('V', 'N')]","STRESS SIMILARITY
","[['AA1', 'N'], ['AO1', 'N']]",0,"PHONETIC SIMILARITY
",on
129,2,1,1,1,[],1,"[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",the,"[('DH', 'AH0')]","STRESS SIMILARITY
","[['AH0'], ['EY1']]",1,"PHONETIC SIMILARITY
",a
130,4,3,1,1,"[('AO1', 'AA1')]",1,"[['S', 'T', 'AO1', 'R']]",store,"[('AO1', 'AA1')]","STRESS SIMILARITY
","[['S', 'T', 'AA1', 'R']]",4,"MINOR LEXICAL
",star
131,10,2,3,4,"[('EH1', 'AE1'), ('AH0', 'AH0'), ('F', 'L'), ('OW2', 'AY2'), ('N', 'T')]",3,"[['T', 'EH1', 'L', 'AH0', 'F', 'OW2', 'N']]",telephone,"[('T', 'S'), ('EH1', 'AE1'), ('L', 'T'), ('F', 'L'), ('OW2', 'AY2'), ('N', 'T')]","STRESS SIMILARITY
","[['S', 'AE1', 'T', 'AH0', 'L', 'AY2', 'T', 'F', 'OW1', 'N']]",7,"NO PHONETIC SIMILARITY
",satellite phone
132,4,1,1,2,"[('UW1', 'T')]",1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'IH1')]","STRESS SIMILARITY
","[['IH1', 'T', 'S', 'AH0'], ['IH1', 'T', 'S', 'AH0'], ['IH0', 'T', 'S', 'EY1'], ['IH0', 'T', 'S', 'EY1']]",2,"PHONETIC SIMILARITY
",it's a
133,0,0,0,3,[],0,[['No arpabet available']],Suliman,"[('No arpabet available', 'S')]","NO STRESS SIMILARITY
","[['S', 'OW1', 'AH0', 'M', 'UW1', 'N'], ['S', 'OW1', 'EY1', 'M', 'UW1', 'N']]",0,"PHONETIC SIMILARITY
",so a moon
134,6,2,1,2,"[('EH1', 'AE1')]",1,"[['T', 'EH1', 'S', 'T', 'IH0', 'NG']]",testing,"[('EH1', 'AA1'), ('S', 'NG')]","STRESS SIMILARITY
","[['T', 'AE1', 'NG'], ['T', 'AA1', 'NG']]",3,"PHONETIC SIMILARITY
",Tang
135,7,3,1,2,"[('G', 'IH1'), ('AH0', 'Z')]",2,"[['T', 'AE1', 'NG', 'G', 'AH0', 'L', 'Z']]",tangles,"[('T', 'T'), ('AE1', 'AA1'), ('NG', 'NG'), ('G', 'IH0'), ('AH0', 'Z')]","NO STRESS SIMILARITY
","[['T', 'AE1', 'NG', 'IH1', 'Z'], ['T', 'AE1', 'NG', 'IH1', 'Z'], ['T', 'AA1', 'NG', 'IH0', 'Z'], ['T', 'AA1', 'NG', 'IH0', 'Z']]",5,"PHONETIC SIMILARITY
",Tang is
136,3,1,1,1,"[('IH1', 'AH1'), ('DH', 'T')]",1,"[['W', 'IH1', 'DH'], ['W', 'IH1', 'TH'], ['W', 'IH0', 'TH'], ['W', 'IH0', 'DH']]",with,"[('IH1', 'W'), ('TH', 'AH1')]","STRESS SIMILARITY
","[['W', 'AH1', 'T'], ['HH', 'W', 'AH1', 'T']]",3,"MINOR LEXICAL
",what
137,9,3,2,3,"[('EH1', 'AE1'), ('S', 'S'), ('T', 'T'), ('M', 'AH0'), ('AH0', 'N')]",3,"[['EH1', 'S', 'T', 'AH0', 'M', 'AH0', 'T', 'S'], ['EH1', 'S', 'T', 'AH0', 'M', 'EY2', 'T', 'S']]",estimates,"[('EH1', 'AE1'), ('S', 'S'), ('T', 'T'), ('M', 'AH0'), ('EY2', 'N')]","NO STRESS SIMILARITY
","[['AE1', 'S', 'T', 'R', 'AH0', 'N', 'AO2', 'T', 'S']]",8,"PHONETIC SIMILARITY
",astronauts
138,9,2,1,4,"[('S', 'S')]",1,"[['S', 'AH1', 'M']]",some,"[('S', 'S'), ('AH1', 'OW1'), ('M', 'DH')]","STRESS SIMILARITY
","[['S', 'OW1', 'DH', 'AH0', 'M', 'UW1', 'N', 'IH1', 'Z'], ['S', 'OW1', 'DH', 'AH0', 'M', 'UW1', 'N', 'IH1', 'Z'], ['S', 'OW1', 'DH', 'AH1', 'M', 'UW1', 'N', 'IH1', 'Z'], ['S', 'OW1', 'DH', 'AH1', 'M', 'UW1', 'N', 'IH0', 'Z'], ['S', 'OW1', 'DH', 'IY0', 'M', 'UW1', 'N', 'IH0', 'Z'], ['S', 'OW1', 'DH', 'IY0', 'M', 'UW1', 'N', 'IH0', 'Z']]",3,"PHONETIC SIMILARITY
",so the moon is
139,3,1,1,2,[],1,"[['AA1', 'R'], ['ER0']]",are,[],"STRESS SIMILARITY
","[['IY1', 'DH', 'ER0'], ['AY1', 'DH', 'ER0']]",1,"PHONETIC SIMILARITY
",either
140,2,1,1,1,[],1,"[['M', 'AY1']]",my,[],"STRESS SIMILARITY
",[['AY1']],1,"PHONETIC SIMILARITY
",I
141,7,1,0,3,"[('D', 'AH0'), ('IH1', 'G'), ('AH0', 'IY1'), ('S', 'W'), ('T', 'IH1')]",2,"[['D', 'IH1', 'R', 'AH0', 'S', 'T']]",dearest,"[('D', 'AH0'), ('IH1', 'G'), ('R', 'R'), ('AH0', 'IY1'), ('S', 'W'), ('T', 'IH0')]","NO STRESS SIMILARITY
","[['AH0', 'G', 'R', 'IY1', 'W', 'IH1', 'DH'], ['AH0', 'G', 'R', 'IY1', 'W', 'IH1', 'TH'], ['AH0', 'G', 'R', 'IY1', 'W', 'IH0', 'TH'], ['AH0', 'G', 'R', 'IY1', 'W', 'IH0', 'DH']]",6,"NO PHONETIC SIMILARITY
",agree with
142,3,2,1,1,"[('IH1', 'EH1')]",1,"[['W', 'IH1', 'L'], ['W', 'AH0', 'L']]",will,"[('IH1', 'EH1')]","STRESS SIMILARITY
","[['W', 'EH1', 'L']]",3,"MINOR LEXICAL
",well
143,5,2,1,3,"[('V', 'R'), ('IH1', 'EY1'), ('OW0', 'OW2')]",3,"[['V', 'IH1', 'D', 'IY0', 'OW0']]",video,"[('V', 'R'), ('IH1', 'EY1'), ('OW0', 'OW2')]","NO STRESS SIMILARITY
","[['R', 'EY1', 'D', 'IY0', 'OW2']]",5,"MINOR LEXICAL
",radio
144,5,4,1,1,[],1,"[['W', 'IH1', 'N', 'D', 'Z'], ['W', 'AY1', 'N', 'D', 'Z']]",winds,"[('AY1', 'IH1')]","STRESS SIMILARITY
","[['W', 'AY1', 'N', 'D'], ['W', 'IH1', 'N', 'D']]",4,"MINOR LEXICAL
",wind
145,2,2,1,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,[],"STRESS SIMILARITY
","[['T', 'UW1']]",2,"HOMOPHONES
",too
146,4,1,1,1,"[('S', 'TH'), ('EH1', 'IH1')]",1,"[['S', 'EH1', 'N', 'D']]",send,"[('S', 'TH'), ('EH1', 'IH1')]","STRESS SIMILARITY
","[['TH', 'IH1', 'N']]",3,"PHONETIC SIMILARITY
",thin
147,2,1,1,1,[],1,"[['AY1', 'M'], ['AH0', 'M']]",I'm,[],"STRESS SIMILARITY
","[['AH0'], ['EY1']]",1,"PHONETIC SIMILARITY
",a
148,5,2,1,2,"[('V', 'N')]",1,"[['M', 'UW1', 'V', 'IH0', 'NG']]",moving,"[('V', 'N')]","STRESS SIMILARITY
","[['M', 'UW1', 'N']]",3,"PHONETIC SIMILARITY
",moon
149,4,3,2,2,[],2,"[['OW1', 'V', 'ER0']]",over,[],"STRESS SIMILARITY
","[['R', 'OW1', 'V', 'ER0']]",3,"MINOR LEXICAL
",rover
150,3,1,1,1,"[('AY1', 'EH1'), ('M', 'N')]",1,"[['T', 'AY1', 'M']]",time,"[('AY1', 'EH1'), ('M', 'N')]","STRESS SIMILARITY
","[['T', 'EH1', 'N']]",3,"MINOR LEXICAL
",ten
151,5,4,2,2,"[('D', 'T')]",2,"[['AH0', 'T', 'EH1', 'N', 'D']]",attend,"[('D', 'T')]","STRESS SIMILARITY
","[['AH0', 'T', 'EH1', 'N', 'T'], ['EY1', 'T', 'EH1', 'N', 'T']]",5,"MINOR LEXICAL
",a tent
152,2,1,1,1,[],1,"[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",the,"[('DH', 'AH0')]","STRESS SIMILARITY
","[['AH0'], ['EY1']]",1,"PHONETIC SIMILARITY
",a
153,8,7,2,2,[],2,"[['K', 'AA1', 'N', 'T', 'AE2', 'K', 'T', 'S'], ['K', 'AA1', 'N', 'T', 'AE2', 'K', 'S']]",contacts,"[('S', 'T')]","STRESS SIMILARITY
","[['K', 'AA1', 'N', 'T', 'AE2', 'K', 'T']]",7,"MINOR LEXICAL
",contact
154,4,4,1,1,[],1,"[['F', 'L', 'EH1', 'R']]",flair,[],"STRESS SIMILARITY
","[['F', 'L', 'EH1', 'R']]",4,"HOMOPHONES
",flare
155,0,0,0,2,[],0,[['No arpabet available']],Priya,"[('No arpabet available', 'B')]","NO STRESS SIMILARITY
","[['B', 'R', 'IY1', 'AH0']]",0,"PHONETIC SIMILARITY
",Bria
156,4,2,0,1,"[('IH1', 'P'), ('K', 'EY1')]",1,"[['S', 'IH1', 'K', 'S']]",six,"[('IH1', 'P'), ('K', 'EY1')]","NO STRESS SIMILARITY
","[['S', 'P', 'EY1', 'S']]",4,"MINOR LEXICAL
",space
157,3,2,1,1,[],1,"[['F', 'AO1', 'R'], ['F', 'ER0'], ['F', 'R', 'ER0']]",for,[],"STRESS SIMILARITY
","[['AO1', 'R'], ['ER0']]",2,"PHONETIC SIMILARITY
",or
158,0,0,0,0,[],1,[['']],%OMISSION,"[('', 'ER0')]","NO STRESS SIMILARITY
","[['AO1', 'R'], ['ER0']]",0,"PHONETIC SIMILARITY
",or
159,0,0,0,1,[],0,[['']],%OMISSION,"[('', 'IH0')]","NO STRESS SIMILARITY
","[['IH1', 'T'], ['IH0', 'T']]",0,"PHONETIC SIMILARITY
",it
160,0,0,1,1,[],1,"[['DH', 'EY1']]",they,"[('DH', 'W'), ('EY1', 'IY1')]","STRESS SIMILARITY
","[['W', 'IY1']]",0,"PHONETIC SIMILARITY
",we
161,3,1,1,1,"[('AH0', 'IH1')]",1,"[['DH', 'AH0'], ['DH', 'AH1'], ['DH', 'IY0']]",the,"[('IY0', 'IH0')]","STRESS SIMILARITY
","[['DH', 'IH1', 'S'], ['DH', 'IH0', 'S']]",2,"PHONETIC SIMILARITY
",this
162,3,2,1,1,"[('AE1', 'EH1')]",1,"[['DH', 'AE1', 'N'], ['DH', 'AH0', 'N']]",than,"[('AE1', 'EH1')]","STRESS SIMILARITY
","[['DH', 'EH1', 'N']]",3,"MINOR LEXICAL
",then
163,3,1,1,1,"[('T', 'S')]",1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'S')]","STRESS SIMILARITY
","[['S', 'UW1', 'T']]",2,"PHONETIC SIMILARITY
",suit
164,0,0,0,1,[],1,"[['AH0', 'N', 'D'], ['AE1', 'N', 'D']]",and,"[('AE1', 'DH'), ('N', 'EH1'), ('D', 'N')]","NO STRESS SIMILARITY
","[['DH', 'EH1', 'N']]",0,"PHONETIC SIMILARITY
",then
165,5,1,1,2,"[('AY1', 'EY1'), ('T', 'D'), ('ER0', 'AA2')]",2,"[['R', 'AY1', 'T', 'ER0']]",writer,"[('AY1', 'EY1'), ('T', 'D'), ('ER0', 'AA2')]","NO STRESS SIMILARITY
","[['R', 'EY1', 'D', 'AA2', 'R']]",4,"PHONETIC SIMILARITY
",radar
166,7,1,1,2,"[('G', 'B'), ('OW1', 'L'), ('IH0', 'AE1')]",2,"[['G', 'OW1', 'IH0', 'NG'], ['G', 'OW1', 'IH0', 'N']]",going,"[('G', 'B'), ('OW1', 'L'), ('N', 'NG')]","NO STRESS SIMILARITY
","[['B', 'L', 'AE1', 'NG', 'K', 'AH0', 'T'], ['B', 'L', 'AE1', 'NG', 'K', 'IH0', 'T']]",4,"NO PHONETIC SIMILARITY
",blanket
167,0,0,1,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'DH'), ('UW1', 'EH1')]","STRESS SIMILARITY
","[['DH', 'EH1', 'N']]",0,"PHONETIC SIMILARITY
",then
168,0,0,0,1,[],0,[['No arpabet available']],Lynnfield,"[('No arpabet available', 'F')]","NO STRESS SIMILARITY
","[['F', 'Y', 'UW1', 'AH0', 'L'], ['F', 'Y', 'UW1', 'L']]",0,"PHONETIC SIMILARITY
",fuel
169,5,1,1,1,"[('AH1', 'IY1'), ('N', 'R')]",2,"[['W', 'AH1', 'N'], ['HH', 'W', 'AH1', 'N']]",one,"[('HH', 'W'), ('W', 'ER1'), ('AH1', 'AO1')]","STRESS SIMILARITY
","[['W', 'IY1', 'R', 'AA1', 'N'], ['W', 'IY1', 'R', 'AA1', 'N'], ['W', 'IH1', 'R', 'AA1', 'N'], ['W', 'IH1', 'R', 'AO1', 'N'], ['W', 'ER1', 'AO1', 'N'], ['W', 'ER1', 'AO1', 'N']]",3,"MINOR LEXICAL
",we're on
170,7,5,2,2,"[('AH0', 'IH0')]",2,"[['T', 'AW1', 'N', 'Z', 'AH0', 'N', 'D']]",Townsend,"[('AH0', 'IH0')]","STRESS SIMILARITY
","[['T', 'AW1', 'N', 'Z', 'IH0', 'N'], ['T', 'AW1', 'N', 'Z', 'IH1', 'N']]",6,"MINOR LEXICAL
",town's in
171,3,2,1,1,"[('AA1', 'AE1')]",1,"[['HH', 'AA1', 'T']]",hot,"[('AA1', 'AE1')]","STRESS SIMILARITY
","[['HH', 'AE1', 'T']]",3,"MINOR LEXICAL
",hat
172,6,5,2,2,"[('NG', 'N')]",2,"[['HH', 'OW1', 'L', 'D', 'IH0', 'NG']]",holding,"[('NG', 'N')]","STRESS SIMILARITY
","[['HH', 'OW1', 'L', 'D', 'IH0', 'N'], ['HH', 'OW1', 'L', 'D', 'IH1', 'N']]",6,"MINOR LEXICAL
",hold in
173,5,1,1,2,"[('AY1', 'IH1')]",1,"[['AY1', 'L']]",I'll,"[('AY1', 'IH1')]","STRESS SIMILARITY
","[['IH1', 'T', 'W', 'IH1', 'L'], ['IH1', 'T', 'W', 'IH1', 'L'], ['IH0', 'T', 'W', 'AH0', 'L'], ['IH0', 'T', 'W', 'AH0', 'L']]",2,"PHONETIC SIMILARITY
",it will
174,4,2,1,2,"[('D', 'T')]",1,"[['AH0', 'N', 'D'], ['AE1', 'N', 'D']]",and,"[('D', 'T')]","STRESS SIMILARITY
","[['AE1', 'N', 'T', 'IY0'], ['AE1', 'N', 'T', 'AY0']]",3,"MINOR LEXICAL
",anti
175,0,0,2,2,[],2,"[['HH', 'AE1', 'V', 'IH0', 'NG']]",having,"[('HH', 'V'), ('AE1', 'EH1'), ('V', 'N'), ('IH0', 'AH0'), ('NG', 'M')]","STRESS SIMILARITY
","[['V', 'EH1', 'N', 'AH0', 'M']]",0,"PHONETIC SIMILARITY
",venom
176,0,0,0,1,[],1,"[['T', 'UW1'], ['T', 'IH0'], ['T', 'AH0']]",to,"[('T', 'IH1'), ('AH0', 'N')]","NO STRESS SIMILARITY
","[['IH0', 'N'], ['IH1', 'N']]",0,"PHONETIC SIMILARITY
",in
177,0,0,1,1,[],1,"[['M', 'EY1', 'K']]",make,"[('M', 'IH1'), ('EY1', 'N')]","STRESS SIMILARITY
","[['IH0', 'N'], ['IH1', 'N']]",0,"PHONETIC SIMILARITY
",in
